#step JEDI Vdrug_like Va Ha JEDI_avg JEDI_sd MaxDerivIdx max_deriv_x max_deriv_y max_deriv_z MaxDerivIdx_* max_deriv_x* max_deriv_y* max_deriv_z* rmsd
0 5.4612 1 0.18382 0.7359 5.4612 0 753 1.3613 1.8418 0.43165 753 1.2776 1.7905 0.44527 0.039496
100 5.3601 1 0.21594 0.72472 5.4107 0.050531 746 -1.6209 -4.4203 -2.4942 746 -1.7107 -4.3597 -2.3048 0.046589
200 5.1479 1 0.1961 0.72032 5.3231 0.12726 581 3.462 0.03632 -0.35148 581 3.3001 0.19926 -0.20366 0.046224
300 5.2965 1 0.18471 0.72893 5.3164 0.064665 99 -3.2657 -3.0882 0.84564 99 -3.0915 -3.042 0.94592 0.048269
400 5.4648 1 0.19653 0.73327 5.3461 0.066019 590 -4.667 -0.2045 1.3093 590 -4.7559 -0.311 1.2177 0.04556
500 4.8956 1 0.18316 0.71277 5.271 0.17003 583 -0.70422 -1.5145 -3.0766 583 -0.6933 -1.5258 -3.1331 0.051399
600 4.7568 1 0.17733 0.70832 5.1976 0.19106 850 0.79557 -0.19563 2.4543 850 0.753 -0.20959 2.3507 0.039534
700 4.5831 1 0.19149 0.69808 5.1207 0.21415 783 -3.1736 -2.4352 -2.2794 783 -3.0947 -2.4012 -2.2202 0.039559
800 4.8175 1 0.16858 0.71273 5.0871 0.11908 775 1.5044 4.9177 -0.8929 775 1.5601 4.8143 -0.80434 0.044779
900 5.3584 1 0.18048 0.7324 5.1142 0.089679 850 1.6747 1.7711 2.3959 850 1.5162 1.6898 2.2654 0.047984
1000 4.8119 1 0.16368 0.71357 5.0867 0.091016 850 0.26314 3.0963 2.3732 850 0.16398 3.0231 2.2668 0.041277
1100 4.7798 1 0.15953 0.71316 5.0611 0.088808 481 -2.8818 -5.6793 0.30619 481 -2.8843 -5.5451 0.28098 0.042785
1200 4.7522 1 0.16141 0.71161 5.0374 0.085931 481 -4.7561 -1.9258 -0.15996 481 -4.7017 -1.9239 -0.16957 0.040961
1300 5.0758 1 0.1665 0.72383 5.0401 0.025011 888 -1.2879 4.2312 -1.0689 888 -1.2993 4.0621 -0.97014 0.038626
1400 5.2411 1 0.18461 0.72667 5.0535 0.050543 888 -1.0772 1.6819 -2.9501 888 -1.1316 1.5552 -2.908 0.034541
1500 4.5062 1 0.17407 0.69872 5.0193 0.13309 888 -1.8482 0.89338 -3.4309 888 -1.8131 0.76931 -3.3963 0.042265
